country,total_waste,total_waste_per_capita
China,25357347.0,17.617542257259494
United States,17192281.0,51.94000863351773
India,5582354.0,4.045171190832339
Japan,4710928.0,37.24746816213011
United Kingdom,2892859.0,42.61347345010812
Brazil,2807635.0,13.208706592199546
France,2318874.0,35.525497632010165
Russian Federation,2303061.0,15.781475368665632
Indonesia,2258595.0,8.257403921297506
South Korea,2251568.0,43.916600058557165
